game_id,description,max_playtime,min_age,min_playtime,name,playing_time,year_published,artist,category,designer,family,mechanic,publisher,average_rating,users_rated,range_of_players
2,"Dragonmaster is a trick-taking card game based on an older game called Coup d'etat. Each player is given a supply of plastic gems, which represent points. Each player will get to be the dealer for five different hands, with slightly different goals for each hand. After all cards have been dealt out, the dealer decides which hand best suits his or her current cards, and the other players are penalized points (in the form of crystals) for taking certain tricks or cards. For instance, if &quot;first&quot; or &quot;last&quot; is called, then a player is penalized for taking the first or last tricks. All players will get a chance to be dealer for five hands, but other players can steal this opportunity by taking all of the tricks during certain hands. At the end, the biggest pile of gems wins the game.&#10;&#10;Jewel contents:&#10;&#10;11 clear (3 extra)&#10;13 green (1 extra)&#10;22 red (2 extra)&#10;22 blue (2 extra)&#10;&#10;",30,12,30,Dragonmaster,30,1981,Bob Pepper,"Card Game,Fantasy","G. W. ""Jerry"" D'Arcey",Animals: Dragons,Trick-taking,"E.S. Lowe,Milton Bradley",6.60815,478,3-4 Players
5,"In Acquire, each player strategically invests in businesses, trying to retain a majority of stock.  As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains.  All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business.  The game is a race to acquire the greatest wealth.&#10;&#10;This Sid Sackson classic has taken many different forms over the years depending on the publisher.  Some versions of the 3M bookshelf edition included rules for a 2-player variant. The original version is part of the 3M Bookshelf Series.&#10;&#10;Note: many books and websites list this as a 1962 publication. This is incorrect; information from Sid Sackson's diaries, correspondence, and royalty statements prove that it was published in 1964.  However, for some reason admins continue to accept &quot;corrections&quot; of the publication date to 1962.  A detailed timeline of the development and publication of the game can be found at https://opinionatedgamers.com/2014/05/29/how-acquire-became-acquire/, for those interested.&#10;&#10;",90,12,90,Acquire,90,1964,"Scott Okumura,Peter Whitley",Economic,Sid Sackson,3M Bookshelf Series,"Hand Management,Stock Holding,Tile Placement","3M,Avalon Hill,Avalon Hill (Hasbro),Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",7.3583,15195,5-6 Players
7,"In Cathedral, each player has a set of pieces of a different color. The pieces are in the shapes of buildings, covering from one to five square units. The first player takes the single neutral Cathedral piece and places it onto the board. Players then alternate placing one of their buildings onto the board until neither player can place another building. Players capture territory by surrounding areas that are occupied by at most one opponent or neutral building. A captured piece is removed and captured territory becomes off-limits to the opponent. The player with the fewest 'square units' of buildings that can't be placed wins.&#10;&#10;",20,8,20,Cathedral,20,1978,S. Mattusek,Strategy,Robert P. Moore,"Combinatorial,Polyominoes","Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement","Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",6.50534,2751,1-2 Players
16,"Taking on the roles of shop owners in the Moroccan marketplace, players buy various shops, as color-coded tourists in the form of neat little wooden people in hats start showing up at the entry gate. Players can then move them into their own like-colored shops to earn money or move them into opponents' shops for a share of the profits. After all the tourists have been placed onto the board, the player with the biggest bankroll takes the victory. This game combines some great auction elements with spatial relationships for an appealing overall effect.&#10;&#10;Contents:&#10;  1 game board&#10;  1 blue auction stone&#10;  1 counter sheet with:&#10;      - 24 shop signs (6 each of Ali, Anfa, Omar and Leila)&#10;      -   4 player aid cards&#10;24  plastic stands&#10;54 pawns = &quot;visitors&quot; (14 yellow, 10 each of red, blue, green and purple)&#10;25 game cards with &quot;souvenirs&quot;&#10;Money in different values (500, 200, 100 and 25 Dirhams)&#10;&#10;",60,12,60,MarraCash,60,1996,"Marion Pott,Oliver Vogel",Economic,Stefan Dorra,"Admin: Better Description Needed!,Cities: Marrakech,Country: Morocco",Auction/Bidding,KOSMOS,6.84341,877,3-4 Players
20,"In this game of science fiction strip mining, players land on a planet and try and grab as much ore as possible and take off before the game is over.  Each player has tanks, boats, barges, mining equipment and a base ship at his disposal and will have to contend with the weather and the other miners.  The game uses an action point allowance system and thus is dice free.  Each player on his turn has a pool of points that he can divide in a variety of ways, putting all the points into one unit's movement or dividing them among several units.  Each turn is timed so players have to think quickly, and once a move has been made it cannot be retracted.  The game itself is beautifully put together, with a detailed hex grid and real metal miniatures for all of the units.&#10;&#10;Online Play: &#10;&#10;    Full Metal Galaxy&#10;    Full Metal Program&#10;    VASSAL module&#10;&#10;&#10;&#10;&#10;Re-implemented by:&#10;&#10;    Full Metal Conqu&#195;&#170;te (as a two-player version)&#10;&#10;&#10;&#10;&#10;Expanded by:&#10;&#10;    Full Metal Planete: Plateau Modulaire.&#10;&#10;&#10;&#10;&#10;Microbadges:&#10; - Full Metal Plan&egrave;te fan  Buy It&#10;&#10;",90,12,90,Full Metal Planète,90,1988,Pascal Trigaux,Fantasy/Sci-Fi,"Gérard Delfanti,Gérard Mathieu,Pascal Trigaux",Admin: Better Description Needed!,Action Point Allowance System,Ludodélire,7.43592,602,3-4 Players
41,"In this Sid Sackson classic, players must press their luck with dice and choose combinations tactically to close out three columns. The board has one column for each possible total of two six-sided dice, but the number of spaces in each column varies: the more probable a total, the more spaces in that column and the more rolls it takes to complete. On their turn, a player rolls four dice and arranges them in duos: 1 4 5 6 can become 1+4 and 5+6 for 5 &amp; 11, 1+5 and 4+6 for 6 &amp; 10, or 1+6 and 4+5 for 7 &amp; 9. The player places or advances progress markers in the open column(s) associated with their chosen totals, then chooses whether to roll again or end their turn and replace the progress markers with markers of their color. A player can only advance three different columns in a turn and cannot advance a column which any player has closed out by reaching the end space; if a roll doesn&rsquo;t result in any legal plays, the turn ends with that turn&rsquo;s progress lost.&#10;&#10;A predecessor from 1974, The Great Races, exists as a paper-and-pencil game.&#10;&#10;",30,9,30,Can't Stop,30,1980,"Gabriel Laulunen (II),Walter Pepperle,Klaus Wilinski",Dice,Sid Sackson,,"Dice Rolling,Press Your Luck","Asmodee,Borras Plana S.A.,Clipper,Eagle-Gryphon Games,Editrice Giochi,Face2Face Games,franjos Spieleverlag,Miro Company,New Games Order, LLC,Palitoy Ltd.,Parker Brothers,Ravensburger Spieleverlag GmbH",6.85659,9095,3-4 Players
44,"This game adds a very interesting twist to the standard trick-taking genre.  There are five suits and players must follow suit, if they can.  However, the winner of the trick is the highest card played, regardless of suit.  The winner gets all the cards from the trick, minus the card he won it with.  That card is given to the player that played the lowest card.  After all tricks have been played, the scoring begins.  Players score the face-value of the cards in the suits that they only collected one or two of, and one point per card for suits with more than two.  The player with the most points after a number of hands wins the game.&#10;&#10;",60,8,60,David & Goliath,60,1998,"Alexander Bradley,Oliver Freudenreich",Card,Reinhard Staupe,,Trick-taking,"Berliner Spielkarten,Pegasus Spiele,Playroom Entertainment,Wargames Club Publishing",6.4529,1418,5-6 Players
49,"Designer Uwe Rosenberg has a talent for dreaming up new and inventive card games, and Mamma Mia! is a perfect example of this talent, with players placing pizza ingredients into a combined pool, then trying to time their pizza baking in order to make use of what's available in the kitchen.&#10;&#10;Each player starts the game with eight different pizza orders to fill, with one of those order cards in hand; each player also starts with a hand of ingredient cards (showing pepperoni, mushroom, pineapple, green pepper or olive). On a turn, a player lays down one or more ingredient cards of a single type into a common stack, then optionally adds a pizza order card to that stack. He then refills his hand by drawing as many cards as he played from either the shared ingredient deck or his own order deck.&#10;&#10;After the draw pile is exhausted, the shared pile of cards is flipped over and sorted by ingredients until an order comes up. If enough ingredient cards are available to fill that order, the owner scores it; if not, the player can make up the difference by playing cards from his hand (and thereby scoring the order) or else return the card to the bottom of his order deck.&#10;&#10;Once all the orders are scored or returned, shuffle the ingredients used in pizzas and start another round of play. After three complete rounds, the player who's filled the most orders wins!&#10;&#10;",30,10,30,Mamma Mia!,30,1999,Franz Vohwinkel,Card,Uwe Rosenberg,"Food / Cooking,Mamma Mia!","Hand Management,Memory","ABACUSSPIELE,Brain Games,cutia.ro,dV Giochi,G3,HomoLudicus,Kaissa Chess & Games,Korea Boardgames co., Ltd.,Lifestyle Boardgames Ltd,Möbius Games,Oya,PS-Games,Red Glove,Rio Grande Games,Vennerød Forlag AS",6.48827,4824,5-6 Players
57,"Schoko &amp; Co is all about producing chocolate in order to make money. Players are chocolate barons who have to contend with every element of the business from production to sales. Buy cocoa, convert it into chocolate and then sell it at sales meetings to big distributors, all along financing the staff and labor to pull it all off. Whoever is the most efficient gets the most money and the win.&#10;&#10;Ambition is the title of the French language edition by the same publisher.&#10;&#10;",180,13,180,Schoko & Co.,180,1987,(Uncredited),Economic,"Yves Hirschfeld,Gilles Monnet",,"Auction/Bidding,Commodity Speculation",Schmidt Spiele,6.6678,371,3-4 Players
70,"This game, with its really wonderful plastic bits, is about building a city.  Players acquire cards in eight different 'neighborhoods' and then use them to lay out buildings either one, two, or three spaces large.  The points they receive for a given building is a base score plus bonuses for the buildings surrounding it.  What makes this game really unique is the city hall.  Some player must play it (scoring no points for himself) in order for anyone to start placing any structure beyond the simple residences and business.&#10;&#10;",60,10,60,Big City,60,1999,Franz Vohwinkel,Strategy,Franz-Benno Delonge,"Admin: Better Description Needed!,Polyominoes","Hand Management,Modular Board,Tile Placement","999 Games,Goldsieber Spiele,Rio Grande Games",6.9039,2164,5-6 Players
